q_Ainv,two_theta_deg,I_norm
7.949999999999999289e-01,1.118638546487645158e+01,2.233798483422245323e-03
8.000000000000000444e-01,1.125696656240808835e+01,1.086144791941143998e-03
8.049999999999999378e-01,1.132755194463099535e+01,3.446804051685890954e-04
8.100000000000000533e-01,1.139814163911224654e+01,0.000000000000000000e+00
8.149999999999999467e-01,1.146873567343386746e+01,4.257357655495223908e-05
8.200000000000000622e-01,1.153933407519297027e+01,4.627554068170542973e-04
8.249999999999999556e-01,1.160993687200181590e+01,1.250792976955095951e-03
8.300000000000000711e-01,1.168054409148795436e+01,2.396835915622971911e-03
8.349999999999999645e-01,1.175115576129429229e+01,3.890944900623469812e-03
8.400000000000000799e-01,1.182177190907922437e+01,5.723100536408036107e-03
8.449999999999999734e-01,1.189239256251669907e+01,7.883212194982499449e-03
8.500000000000000888e-01,1.196301774929636252e+01,1.036112681289011808e-02
8.549999999999999822e-01,1.203364749712361892e+01,1.314663763704827099e-02
8.599999999999999867e-01,1.210428183371976374e+01,1.622949291234036459e-02
8.649999999999999911e-01,1.217492078682207080e+01,1.959940450396778500e-02
8.699999999999999956e-01,1.224556438418389170e+01,2.324605644771099433e-02
8.750000000000000000e-01,1.231621265357477135e+01,2.715911342136466400e-02
8.800000000000000044e-01,1.238686562278053849e+01,3.132822913075924282e-02
8.850000000000000089e-01,1.245752331960340875e+01,3.574305460391771078e-02
8.900000000000000133e-01,1.252818577186210192e+01,4.039324638704273190e-02
8.950000000000000178e-01,1.259885300739192360e+01,4.526847463618566964e-02
9.000000000000000222e-01,1.266952505404488605e+01,5.035843109859904770e-02
9.050000000000000266e-01,1.274020193968979697e+01,5.565283697793781820e-02
9.100000000000000311e-01,1.281088369221237677e+01,6.114145067763886165e-02
9.150000000000000355e-01,1.288157033951535624e+01,6.681407541697709229e-02
9.199999999999999289e-01,1.295226190951857603e+01,7.266056671446537163e-02
9.250000000000000444e-01,1.302295843015909504e+01,7.867083973344772552e-02
9.299999999999999378e-01,1.309365992939129342e+01,8.483487648490666000e-02
