LAMMPS (29 Aug 2024)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (14.3 14.3 14.3)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  192 atoms
  reading velocities ...
  192 velocities
  read_data CPU = 0.003 seconds
WARNING: Changed valency_val to valency_boc for X (src/REAXFF/reaxff_ffield.cpp:294)

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- Type Label Framework: https://doi.org/10.1021/acs.jpcb.3c08419
- pair reaxff command: doi:10.1016/j.parco.2011.08.005
- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 10 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 3 3 3
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 46.19 | 46.22 | 46.24 Mbytes
   Step          Time           Temp          PotEng         KinEng         TotEng         Press          Volume        Density    
      6900   1725           3910.5836     -26504.051      2226.431      -24277.62       21190.557      2983.0151      2.1405954    
      7000   1750           3840.8213     -26392.211      2186.7129     -24205.498     -6381.295       2984.9538      2.1392051    
      7100   1775           3947.8462     -26339.459      2247.6459     -24091.813      31789.679      2986.9165      2.1377995    
      7200   1800           4040.1249     -26249.895      2300.1834     -23949.712      1758.2419      2988.9149      2.1363701    
      7300   1825           4457.9909     -26377.381      2538.089      -23839.292      11365.038      2990.936       2.1349264    
      7400   1850           3995.1433     -26064.798      2274.5738     -23790.225      4291.793       2992.9911      2.1334605    
      7500   1875           4262.5147     -26202.138      2426.7976     -23775.34       34253.515      2995.0713      2.1319788    
      7600   1900           3981.3593     -26047.475      2266.7261     -23780.749      24293.481      2997.1736      2.1304833    
      7700   1925           4410.0643     -26301.766      2510.8027     -23790.963     -26765.908      2999.2952      2.1289763    
      7800   1950           4293.5361     -26265.137      2444.4592     -23820.677      16206.644      3001.4182      2.1274704    
      7900   1975           4028.3249     -26158.024      2293.4652     -23864.559      27428.786      3003.5706      2.1259458    
      8000   2000           3786.5852     -26067.906      2155.8344     -23912.071      15764.716      3005.749       2.1244051    
      8100   2025           4503.487      -26540.427      2563.9915     -23976.435      37833.115      3007.9472      2.1228525    
      8200   2050           3979.8684     -26324.952      2265.8773     -24059.075      31481.839      3010.205       2.1212603    
      8300   2075           3879.7329     -26338.764      2208.8667     -24129.897     -69.293423      3012.4921      2.1196498    
      8400   2100           3850.9556     -26368.021      2192.4827     -24175.539      24470.406      3014.7832      2.118039     
      8500   2125           3838.4537     -26394.001      2185.3649     -24208.636      18836.593      3017.0955      2.1164157    
