LAMMPS (29 Aug 2024)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.13298298 -0.13298298 -0.13298298) to (14.432983 14.432983 14.432983)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  192 atoms
  reading velocities ...
  192 velocities
  read_data CPU = 0.004 seconds
WARNING: Changed valency_val to valency_boc for X (src/REAXFF/reaxff_ffield.cpp:294)

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- Type Label Framework: https://doi.org/10.1021/acs.jpcb.3c08419
- pair reaxff command: doi:10.1016/j.parco.2011.08.005
- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 10 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 3 3 3
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 42.6 | 42.86 | 43.16 Mbytes
   Step          Time           Temp          PotEng         KinEng         TotEng         Press          Volume        Density    
      6500   1625           2422.0937     -27454.145      1378.982      -26075.163      31698.989      2917.7549      2.1884732    
      6600   1650           2650.5003     -27638.036      1509.0219     -26129.014     -13744.193      2913.6251      2.1915752    
      6700   1675           2257.5927     -27461.626      1285.3259     -26176.3       -11735.638      2909.5219      2.1946658    
      6800   1700           2452.3373     -27604.467      1396.2008     -26208.266     -4573.5654      2905.4179      2.1977659    
      6900   1725           2249.3405     -27506.798      1280.6276     -26226.171      15374.741      2901.3302      2.2008623    
      7000   1750           2241.3562     -27507.555      1276.0819     -26231.473      13983.356      2897.2537      2.203959     
      7100   1775           2402.5776     -27597.765      1367.8708     -26229.894     -15183.155      2893.1849      2.2070585    
      7200   1800           2393.0824     -27588.092      1362.4649     -26225.627     -8803.2757      2889.14        2.2101485    
      7300   1825           2544.8731     -27665.988      1448.8846     -26217.103     -7483.1094      2885.1273      2.2132224    
      7400   1850           2390.9045     -27577.934      1361.2249     -26216.709      7983.3689      2881.1661      2.2162653    
      7500   1875           2392.0548     -27577.612      1361.8798     -26215.733      32185.715      2877.2325      2.2192952    
      7600   1900           2448.4385     -27606.271      1393.981      -26212.29      -20792.836      2873.385       2.2222669    
      7700   1925           2464.3762     -27613.844      1403.0549     -26210.789     -1543.9742      2869.5579      2.2252308    
      7800   1950           2381.6313     -27564.597      1355.9454     -26208.652      314.45091      2865.7605      2.2281794    
      7900   1975           2423.9001     -27587.867      1380.0105     -26207.856      26249.806      2861.9756      2.2311261    
      8000   2000           2554.8979     -27661.291      1454.5921     -26206.699     -9437.4296      2858.2418      2.2340407    
      8100   2025           2340.6644     -27535.725      1332.6215     -26203.104      21090.742      2854.5616      2.2369208    
      8200   2050           2626.2135     -27695.882      1495.1946     -26200.688      10902.066      2850.9591      2.2397475    
      8300   2075           2308.2683     -27515.769      1314.1773     -26201.592     -31946.206      2847.4352      2.2425193    
      8400   2100           2213.1015     -27465.008      1259.9955     -26205.012      21159.652      2843.9231      2.2452887    
      8500   2125           2399.037      -27569.93       1365.8551     -26204.075      8318.4462      2840.4467      2.2480367    
      8600   2150           2561.1431     -27659.766      1458.1477     -26201.618      24288.221      2837.0257      2.2507474    
      8700   2175           2446.611      -27598          1392.9406     -26205.059      50694.253      2833.6746      2.2534092    
      8800   2200           2528.773      -27655.671      1439.7183     -26215.953     -2214.5693      2830.3937      2.2560213    
      8900   2225           2670.6821     -27755.303      1520.512      -26234.791      4791.7653      2827.1904      2.2585774    
      9000   2250           2356.9367     -27608.532      1341.8859     -26266.647      33671.478      2824.0717      2.2610716    
      9100   2275           2220.4464     -27562.92       1264.1772     -26298.742      33662.969      2821.0146      2.2635219    
      9200   2300           2466.707      -27728.887      1404.3819     -26324.505      10767.313      2818.0309      2.2659186    
      9300   2325           2312.7415     -27665.412      1316.724      -26348.688      12993.629      2815.1294      2.2682539    
      9400   2350           2445.8547     -27762.976      1392.51       -26370.466      12373.392      2812.2914      2.270543     
      9500   2375           2417.7223     -27769.472      1376.4932     -26392.979      49351.303      2809.5282      2.2727761    
      9600   2400           2349.9666     -27750.069      1337.9176     -26412.151      14298.62       2806.8591      2.2749373    
      9700   2425           2316.8608     -27743.038      1319.0693     -26423.969     -35110.802      2804.2585      2.277047     
      9800   2450           2349.9192     -27772.237      1337.8906     -26434.346      93131.604      2801.6683      2.2791521    
      9900   2475           2356.3522     -27778.262      1341.5531     -26436.709     -2888.8903      2799.1836      2.2811753    
     10000   2500           2181.9682     -27677.735      1242.2702     -26435.464      7528.2517      2796.7779      2.2831374    
     10100   2525           2334.5261     -27748.152      1329.1268     -26419.025      11333.393      2794.444       2.2850443    
     10200   2550           2372.0895     -27734.996      1350.5129     -26384.483      65302.34       2792.1923      2.286887     
     10300   2575           2256.2174     -27623.375      1284.5429     -26338.832     -11146.88       2790.078       2.28862      
     10400   2600           2364.6282     -27634.114      1346.2649     -26287.849      55213.961      2788.0469      2.2902873    
     10500   2625           2497.3348     -27655.042      1421.8194     -26233.223      27646.365      2786.1276      2.2918651    
     10600   2650           2553.3459     -27640.401      1453.7085     -26186.692      11152.029      2784.3275      2.2933467    
     10700   2675           2267.8761     -27444.974      1291.1806     -26153.793      13467.041      2782.6142      2.2947588    
     10800   2700           2650.3488     -27637.336      1508.9356     -26128.4        39175.468      2780.9712      2.2961145    
     10900   2725           2557.848      -27570.431      1456.2717     -26114.159      35647.541      2779.4345      2.297384     
     11000   2750           2690.5208     -27649.366      1531.8069     -26117.56       16497.15       2777.9769      2.2985895    
     11100   2775           2563.4034     -27595.092      1459.4346     -26135.657      14565.763      2776.5997      2.2997295    
     11200   2800           2668.8569     -27684.256      1519.4729     -26164.784      24870.266      2775.3189      2.3007908    
     11300   2825           2471.7034     -27613.082      1407.2265     -26205.855      37829.138      2774.1486      2.3017615    
     11400   2850           2371.4621     -27601.46       1350.1557     -26251.305      32418.472      2773.0473      2.3026756    
     11500   2875           2333.5178     -27619.518      1328.5527     -26290.966      27979.208      2771.9942      2.3035504    
     11600   2900           2551.1458     -27770.649      1452.4559     -26318.194      39119.651      2771.0285      2.3043532    
     11700   2925           2504.8992     -27765.275      1426.1261     -26339.149      33209          2770.1605      2.3050753    
     11800   2950           2310.764      -27668.629      1315.5982     -26353.031      9034.3767      2769.3749      2.3057291    
     11900   2975           2359.1527     -27707.452      1343.1476     -26364.305      59818.902      2768.6617      2.3063231    
     12000   3000           2269.1346     -27662.873      1291.8971     -26370.976      35810.323      2768.0479      2.3068345    
     12100   3025           2391.9941     -27740.288      1361.8453     -26378.443      13072.355      2767.5288      2.3072672    
     12200   3050           2180.3476     -27622.103      1241.3476     -26380.755      81259.023      2767.1054      2.3076202    
     12300   3075           2468.821      -27785.293      1405.5855     -26379.707     -7118.663       2766.7714      2.3078988    
     12400   3100           2263.6139     -27665.554      1288.754      -26376.8        49229.126      2766.504       2.3081219    
     12500   3125           2657.5607     -27886.226      1513.0415     -26373.185      13735.693      2766.307       2.3082863    
     12600   3150           2294.0821     -27672.732      1306.1006     -26366.631      17220.524      2766.2074      2.3083694    
     12700   3175           2396.042      -27724.25       1364.1499     -26360.1        62189.907      2766.1971      2.3083779    
     12800   3200           2395.1891     -27716.023      1363.6643     -26352.359      37855.147      2766.2747      2.3083132    
     12900   3225           2472.2224     -27755.923      1407.5221     -26348.401      12821.367      2766.4183      2.3081933    
     13000   3250           2344.7548     -27678.041      1334.9503     -26343.09      -10486.924      2766.6179      2.3080268    
     13100   3275           2558.4931     -27794.984      1456.639      -26338.345      9125.4506      2766.8509      2.3078325    
     13200   3300           2412.8779     -27704.077      1373.7352     -26330.342      21104.064      2767.1566      2.3075776    
     13300   3325           2612.0342     -27804.472      1487.1218     -26317.351     -17726.151      2767.5263      2.3072693    
     13400   3350           2414.5576     -27677.538      1374.6914     -26302.846      57193.573      2767.9516      2.3069148    
     13500   3375           2373.9239     -27638.989      1351.5573     -26287.432      48434.221      2768.4705      2.3064824    
     13600   3400           2537.4423     -27713.872      1444.654      -26269.218      39922.898      2769.0761      2.305978     
     13700   3425           2464.6039     -27659.246      1403.1846     -26256.061      16028.011      2769.7825      2.3053898    
     13800   3450           2393.2249     -27611.87       1362.546      -26249.324      48417.368      2770.5868      2.3047206    
     13900   3475           2455.2077     -27642.907      1397.835      -26245.072      46894.262      2771.4927      2.3039672    
     14000   3500           2185.0902     -27482          1244.0477     -26237.952      49842.16       2772.4753      2.3031507    
     14100   3525           2550.9912     -27680.043      1452.3678     -26227.675      56559.231      2773.491       2.3023072    
     14200   3550           2316.16       -27536.807      1318.6703     -26218.137      49309.54       2774.5633      2.3014174    
     14300   3575           2594.4564     -27684.03       1477.1141     -26206.916      20847.015      2775.6883      2.3004846    
     14400   3600           2598.5517     -27678.757      1479.4457     -26199.311     -9793.166       2776.8693      2.2995062    
     14500   3625           2436.0958     -27589.799      1386.9539     -26202.845      11656.777      2778.0772      2.2985065    
     14600   3650           2608.0034     -27699.244      1484.8269     -26214.417      67272.64       2779.324       2.2974754    
     14700   3675           2509.1253     -27663.911      1428.5322     -26235.379      18101.291      2780.6636      2.2963685    
     14800   3700           2337.1662     -27598.993      1330.6299     -26268.363     -14256.753      2782.0629      2.2952135    
     14900   3725           2512.1958     -27741.334      1430.2803     -26311.053      32827.452      2783.4813      2.2940439    
     15000   3750           2519.1746     -27794.37       1434.2536     -26360.117      8896.0363      2784.9788      2.2928104    
     15100   3775           2209.2161     -27666.394      1257.7834     -26408.61       24694.791      2786.5517      2.2915162    
     15200   3800           2186.2894     -27688.415      1244.7304     -26443.684      12984.031      2788.1699      2.2901863    
     15300   3825           2289.875      -27770.014      1303.7053     -26466.308     -14360.539      2789.8061      2.2888431    
     15400   3850           2389.0442     -27837.402      1360.1658     -26477.236     -769.26153      2791.4598      2.2874871    
     15500   3875           2142.8448     -27701.799      1219.996      -26481.803      2020.4299      2793.1357      2.2861147    
     15600   3900           2260.4955     -27760.465      1286.9786     -26473.486     -23256.984      2794.8229      2.2847345    
     15700   3925           2353.0729     -27794.207      1339.6861     -26454.521     -14817.751      2796.4857      2.283376     
     15800   3950           2178.868      -27668.528      1240.5052     -26428.022      19096.561      2798.1477      2.2820198    
     15900   3975           2331.9186     -27720.923      1327.6422     -26393.28       25679.886      2799.8239      2.2806536    
     16000   4000           2404.7035     -27724.741      1369.0812     -26355.66       12772.153      2801.5138      2.2792779    
     16100   4025           2289.811      -27623.036      1303.6689     -26319.367     -16559.657      2803.2467      2.2778689    
     16200   4050           2488.4689     -27708.772      1416.7718     -26292          57095.523      2804.9974      2.2764472    
     16300   4075           2243.1764     -27552.581      1277.1182     -26275.463      34356.782      2806.8087      2.2749782    
     16400   4100           2618.2474     -27756.538      1490.6591     -26265.879     -19080.056      2808.6559      2.2734819    
     16500   4125           2397.8822     -27630.635      1365.1976     -26265.437      20174.571      2810.5369      2.2719604    
     16600   4150           2323.6523     -27586.444      1322.9359     -26263.508      19015.045      2812.4618      2.2704054    
     16700   4175           2452.1156     -27656.79       1396.0745     -26260.716      14285.446      2814.4054      2.2688375    
     16800   4200           2210.8199     -27518.452      1258.6965     -26259.756      26611.703      2816.3689      2.2672557    
     16900   4225           2499.9247     -27681.563      1423.2939     -26258.269      32211.921      2818.3575      2.2656559    
     17000   4250           2330.7167     -27582.825      1326.9579     -26255.867      31687.698      2820.3584      2.2640486    
     17100   4275           2589.9793     -27734.192      1474.5651     -26259.626      4311.9494      2822.3802      2.2624267    
     17200   4300           2397.8501     -27635.663      1365.1793     -26270.483     -4548.0171      2824.4045      2.2608052    
     17300   4325           2332.477      -27613.657      1327.9601     -26285.697      15119.636      2826.4329      2.2591827    
     17400   4350           2401.9392     -27667.623      1367.5074     -26300.115     -8235.4687      2828.4619      2.2575621    
     17500   4375           2294.5184     -27622.125      1306.349      -26315.776      25804.433      2830.496       2.2559398    
     17600   4400           2251.7692     -27614.452      1282.0104     -26332.441     -5813.0066      2832.5371      2.2543142    
     17700   4425           2297.2848     -27659.088      1307.924      -26351.164     -3343.5458      2834.5729      2.2526951    
     17800   4450           2215.2316     -27629.093      1261.2083     -26367.884     -28077.095      2836.6112      2.2510764    
     17900   4475           2416.6848     -27759.795      1375.9026     -26383.892     -16836.326      2838.6219      2.2494818    
