q_Ainv,two_theta_deg,I_norm
1.015000000000000124e+00,1.429637431471739717e+01,1.945475184476570807e-01
1.020000000000000018e+00,1.436717022917370912e+01,2.018039882458149137e-01
1.024999999999999911e+00,1.443797165678586936e+01,2.090546668400839747e-01
1.030000000000000027e+00,1.450877862587682721e+01,2.162921522003179442e-01
1.035000000000000142e+00,1.457959116478908435e+01,2.235092087528617877e-01
1.040000000000000036e+00,1.465040930188480672e+01,2.306987706784906222e-01
1.044999999999999929e+00,1.472123306554592403e+01,2.378539450189678106e-01
1.050000000000000044e+00,1.479206248417424874e+01,2.449680145917725593e-01
1.055000000000000160e+00,1.486289758619156132e+01,2.520344407127363406e-01
1.060000000000000053e+00,1.493373840003974529e+01,2.590468657265050934e-01
1.064999999999999947e+00,1.500458495418088312e+01,2.659991153449251522e-01
1.070000000000000062e+00,1.507543727709737169e+01,2.728852007936241053e-01
1.075000000000000178e+00,1.514629539729202534e+01,2.796993207672399118e-01
1.080000000000000071e+00,1.521715934328818065e+01,2.864358631939227795e-01
1.084999999999999964e+00,1.528802914362983500e+01,2.930894068099019756e-01
1.089999999999999858e+00,1.535890482688171588e+01,2.996547225450794105e-01
1.094999999999999973e+00,1.542978642162942648e+01,3.061267747207813139e-01
1.100000000000000089e+00,1.550067395647953816e+01,3.125007220609551939e-01
1.104999999999999982e+00,1.557156746005968628e+01,3.187719185182656956e-01
1.109999999999999876e+00,1.564246696101873013e+01,3.249359139166955179e-01
1.114999999999999991e+00,1.571337248802681508e+01,3.309884544124096495e-01
1.120000000000000107e+00,1.578428406977550935e+01,3.369254827747960590e-01
1.125000000000000000e+00,1.585520173497789642e+01,3.427431384897389188e-01
1.129999999999999893e+00,1.592612551236871532e+01,3.484377576873248783e-01
1.135000000000000009e+00,1.599705543070445302e+01,3.540058728963197399e-01
1.140000000000000124e+00,1.606799151876345633e+01,3.594442126278909466e-01
1.145000000000000018e+00,1.613893380534603850e+01,3.647497007911841282e-01
1.149999999999999911e+00,1.620988231927463374e+01,3.699194559434850205e-01
1.155000000000000027e+00,1.628083708939384522e+01,3.749507903778241946e-01
1.160000000000000142e+00,1.635179814457061198e+01,3.798412090510022154e-01
1.165000000000000036e+00,1.642276551369429427e+01,3.845884083551275312e-01
1.169999999999999929e+00,1.649373922567679429e+01,3.891902747358697012e-01
1.175000000000000044e+00,1.656471930945267701e+01,3.936448831607347043e-01
1.180000000000000160e+00,1.663570579397927673e+01,3.979504954407779294e-01
1.185000000000000053e+00,1.670669870823679659e+01,4.021055584092608215e-01
1.189999999999999947e+00,1.677769808122846129e+01,4.061087019608551341e-01
1.195000000000000062e+00,1.684870394198061661e+01,4.099587369550835581e-01
1.200000000000000178e+00,1.691971631954280753e+01,4.136546529877735967e-01
1.205000000000000071e+00,1.699073524298794169e+01,4.171956160343769371e-01
1.209999999999999964e+00,1.706176074141239241e+01,4.205809659690840641e-01
1.214999999999999858e+00,1.713279284393609103e+01,4.238102139637318078e-01
1.219999999999999973e+00,1.720383157970269394e+01,4.268830397705680180e-01
1.225000000000000089e+00,1.727487697787962873e+01,4.297992888929960675e-01
1.229999999999999982e+00,1.734592906765826470e+01,4.325589696484829494e-01
1.234999999999999876e+00,1.741698787825402306e+01,4.351622501278571975e-01
1.239999999999999991e+00,1.748805343890647279e+01,4.376094550552770968e-01
1.245000000000000107e+00,1.755912577887944792e+01,4.399010625531858953e-01
1.250000000000000000e+00,1.763020492746119672e+01,4.420377008166114785e-01
1.254999999999999893e+00,1.770129091396447762e+01,4.440201447011968283e-01
1.260000000000000009e+00,1.777238376772666584e+01,4.458493122293760158e-01
1.265000000000000124e+00,1.784348351810989541e+01,4.475262610191340640e-01
1.270000000000000018e+00,1.791459019450115520e+01,4.490521846398071171e-01
1.274999999999999911e+00,1.798570382631242381e+01,4.504284088993902868e-01
1.280000000000000027e+00,1.805682444298079048e+01,4.516563880678339249e-01
1.285000000000000142e+00,1.812795207396856867e+01,4.527377010408080715e-01
1.290000000000000036e+00,1.819908674876339560e+01,4.536740474484202146e-01
1.294999999999999929e+00,1.827022849687839923e+01,4.544672437133626675e-01
1.300000000000000044e+00,1.834137734785226570e+01,4.551192190629598788e-01
1.305000000000000160e+00,1.841253333124940639e+01,4.556320114995698889e-01
1.310000000000000053e+00,1.848369647666003246e+01,4.560077637337806578e-01
1.314999999999999947e+00,1.855486681370031476e+01,4.562487190848161234e-01
1.320000000000000062e+00,1.862604437201249752e+01,4.563572173525444198e-01
1.325000000000000178e+00,1.869722918126500133e+01,4.563356906654484346e-01
1.330000000000000071e+00,1.876842127115253689e+01,4.561866593088879096e-01
1.334999999999999964e+00,1.883962067139628616e+01,4.559127275379405431e-01
1.339999999999999858e+00,1.891082741174395920e+01,4.555165793790728057e-01
1.344999999999999973e+00,1.898204152196994698e+01,4.550009744248423305e-01
1.350000000000000089e+00,1.905326303187543857e+01,4.543687436257874412e-01
1.354999999999999982e+00,1.912449197128853484e+01,4.536227850836047626e-01
1.359999999999999876e+00,1.919572837006440480e+01,4.527660598496614508e-01
1.364999999999999991e+00,1.926697225808537439e+01,4.518015877328313001e-01
1.370000000000000107e+00,1.933822366526105441e+01,4.507324431205754767e-01
1.375000000000000000e+00,1.940948262152846837e+01,4.495617508171321219e-01
1.379999999999999893e+00,1.948074915685221242e+01,4.482926819026017973e-01
1.385000000000000009e+00,1.955202330122451926e+01,4.469284496166490150e-01
1.390000000000000124e+00,1.962330508466541446e+01,4.454723052704665509e-01
1.395000000000000018e+00,1.969459453722285502e+01,4.439275341905677963e-01
1.399999999999999911e+00,1.976589168897282534e+01,4.422974516978971371e-01
1.405000000000000027e+00,1.983719657001949344e+01,4.405853991256638014e-01
1.410000000000000142e+00,1.990850921049531408e+01,4.387947398792213516e-01
1.415000000000000036e+00,1.997982964056115307e+01,4.369288555412256247e-01
1.419999999999999929e+00,2.005115789040643648e+01,4.349911420252193794e-01
1.425000000000000044e+00,2.012249399024926788e+01,4.329850057806969299e-01
1.430000000000000160e+00,2.019383797033654204e+01,4.309138600526108975e-01
1.435000000000000053e+00,2.026518986094409414e+01,4.287811211981874537e-01
1.439999999999999947e+00,2.033654969237680632e+01,4.265902050638218368e-01
1.445000000000000062e+00,2.040791749496876761e+01,4.243445234247262277e-01
1.450000000000000178e+00,2.047929329908335916e+01,4.220474804899030929e-01
1.455000000000000071e+00,2.055067713511342120e+01,4.197024694749168505e-01
1.459999999999999964e+00,2.062206903348136322e+01,4.173128692448331289e-01
1.464999999999999858e+00,2.069346902463929183e+01,4.148820410295956940e-01
1.469999999999999973e+00,2.076487713906917065e+01,4.124133252140013139e-01
1.475000000000000089e+00,2.083629340728289492e+01,4.099100382043326385e-01
1.479999999999999982e+00,2.090771785982247977e+01,4.073754693736036381e-01
1.484999999999999876e+00,2.097915052726014906e+01,4.048128780872595756e-01
1.489999999999999991e+00,2.105059144019848816e+01,4.022254908110768357e-01
1.495000000000000107e+00,2.112204062927057890e+01,3.996164983028926421e-01
1.500000000000000000e+00,2.119349812514010978e+01,3.969890528896897197e-01
1.505000000000000115e+00,2.126496395850152510e+01,3.943462658314543234e-01
1.510000000000000009e+00,2.133643816008016358e+01,3.916912047731201940e-01
1.515000000000000124e+00,2.140792076063237204e+01,3.890268912857966499e-01
1.520000000000000018e+00,2.147941179094564745e+01,3.863562984983811011e-01
1.524999999999999911e+00,2.155091128183878268e+01,3.836823488205408639e-01
1.530000000000000027e+00,2.162241926416196236e+01,3.810079117579475150e-01
1.534999999999999920e+00,2.169393576879695473e+01,3.783358018205400519e-01
1.540000000000000036e+00,2.176546082665719339e+01,3.756687765244851041e-01
1.544999999999999929e+00,2.183699446868795135e+01,3.730095344884009068e-01
1.550000000000000044e+00,2.190853672586644407e+01,3.703607136243052822e-01
1.554999999999999938e+00,2.198008762920198222e+01,3.677248894236466725e-01
1.560000000000000053e+00,2.205164720973611026e+01,3.651045733386720782e-01
1.564999999999999947e+00,2.212321549854273073e+01,3.625022112592893864e-01
1.570000000000000062e+00,2.219479252672825709e+01,3.599201820854765477e-01
1.574999999999999956e+00,2.226637832543173801e+01,3.573607963951955235e-01
1.580000000000000071e+00,2.233797292582498883e+01,3.548262952076684518e-01
1.584999999999999964e+00,2.240957635911274792e+01,3.523188488417819397e-01
1.590000000000000080e+00,2.248118865653280807e+01,3.498405558692841977e-01
1.594999999999999973e+00,2.255280984935614086e+01,3.473934421623563473e-01
1.600000000000000089e+00,2.262443996888706366e+01,3.449794600350381546e-01
1.604999999999999982e+00,2.269607904646333907e+01,3.426004874779081666e-01
1.610000000000000098e+00,2.276772711345635969e+01,3.402583274853235862e-01
1.614999999999999991e+00,2.283938420127124758e+01,3.379547074744457258e-01
1.620000000000000107e+00,2.291105034134702834e+01,3.356912787951873423e-01
1.625000000000000000e+00,2.298272556515674125e+01,3.334696163301424932e-01
1.630000000000000115e+00,2.305440990420760272e+01,3.312912181834746783e-01
1.635000000000000009e+00,2.312610339004114124e+01,3.291575054576665882e-01
1.640000000000000124e+00,2.319780605423333952e+01,3.270698221169538455e-01
1.645000000000000018e+00,2.326951792839475530e+01,3.250294349361999569e-01
1.650000000000000133e+00,2.334123904417071671e+01,3.230375335338891429e-01
1.655000000000000027e+00,2.341296943324139690e+01,3.210952304878559871e-01
1.659999999999999920e+00,2.348470912732202009e+01,3.192035615322956765e-01
1.665000000000000036e+00,2.355645815816296818e+01,3.173634858345411036e-01
1.669999999999999929e+00,2.362821655754992278e+01,3.155758863500294775e-01
1.675000000000000044e+00,2.369998435730403585e+01,3.138415702538222551e-01
1.679999999999999938e+00,2.377176158928204686e+01,3.121612694469876881e-01
1.685000000000000053e+00,2.384354828537645687e+01,3.105356411360998270e-01
1.689999999999999947e+00,2.391534447751564230e+01,3.089652684840582531e-01
1.695000000000000062e+00,2.398715019766402534e+01,3.074506613303832903e-01
1.699999999999999956e+00,2.405896547782220196e+01,3.059922569790968216e-01
1.705000000000000071e+00,2.413079035002711592e+01,3.045904210522541455e-01
1.709999999999999964e+00,2.420262484635217248e+01,3.032454484071526180e-01
1.715000000000000080e+00,2.427446899890740895e+01,3.019575641152045242e-01
1.719999999999999973e+00,2.434632283983962964e+01,3.007269245004272618e-01
1.725000000000000089e+00,2.441818640133257645e+01,2.995536182354687216e-01
1.729999999999999982e+00,2.449005971560703543e+01,2.984376674930591666e-01
1.735000000000000098e+00,2.456194281492104281e+01,2.973790291507501515e-01
1.739999999999999991e+00,2.463383573156997386e+01,2.963775960467783799e-01
1.745000000000000107e+00,2.470573849788674536e+01,2.954331982848700244e-01
1.750000000000000000e+00,2.477765114624194354e+01,2.945456045857803296e-01
1.755000000000000115e+00,2.484957370904396257e+01,2.937145236833472728e-01
1.760000000000000009e+00,2.492150621873916805e+01,2.929396057628247396e-01
1.765000000000000124e+00,2.499344870781207106e+01,2.922204439392453446e-01
