q_Ainv,two_theta_deg,I_norm
1.114999999999999991e+00,1.571337248802681508e+01,9.985564710421739321e-01
1.120000000000000107e+00,1.578428406977550935e+01,9.972845041198564742e-01
1.125000000000000000e+00,1.585520173497789642e+01,9.956340114514280470e-01
1.129999999999999893e+00,1.592612551236871532e+01,9.936156248522498569e-01
1.135000000000000009e+00,1.599705543070445302e+01,9.912402850026091894e-01
1.140000000000000124e+00,1.606799151876345633e+01,9.885192191463140210e-01
1.145000000000000018e+00,1.613893380534603850e+01,9.854639188119785898e-01
1.149999999999999911e+00,1.620988231927463374e+01,9.820861175874536775e-01
1.155000000000000027e+00,1.628083708939384522e+01,9.783977689773368791e-01
1.160000000000000142e+00,1.635179814457061198e+01,9.744110243729441345e-01
1.165000000000000036e+00,1.642276551369429427e+01,9.701382111635330485e-01
1.169999999999999929e+00,1.649373922567679429e+01,9.655918110169472435e-01
1.175000000000000044e+00,1.656471930945267701e+01,9.607844383572000657e-01
1.180000000000000160e+00,1.663570579397927673e+01,9.557288190658267402e-01
1.185000000000000053e+00,1.670669870823679659e+01,9.504377694331213045e-01
1.189999999999999947e+00,1.677769808122846129e+01,9.449241753846335801e-01
1.195000000000000062e+00,1.684870394198061661e+01,9.392009720075341628e-01
1.200000000000000178e+00,1.691971631954280753e+01,9.332811234006609391e-01
1.205000000000000071e+00,1.699073524298794169e+01,9.271776028712418460e-01
1.209999999999999964e+00,1.706176074141239241e+01,9.209033735004533705e-01
1.214999999999999858e+00,1.713279284393609103e+01,9.144713690991159716e-01
1.219999999999999973e+00,1.720383157970269394e+01,9.078944755739427608e-01
1.225000000000000089e+00,1.727487697787962873e+01,9.011855127238711516e-01
1.229999999999999982e+00,1.734592906765826470e+01,8.943572164850867035e-01
1.234999999999999876e+00,1.741698787825402306e+01,8.874222216424295651e-01
1.239999999999999991e+00,1.748805343890647279e+01,8.803930450239317862e-01
1.245000000000000107e+00,1.755912577887944792e+01,8.732820691942854152e-01
1.250000000000000000e+00,1.763020492746119672e+01,8.661015266620755160e-01
1.254999999999999893e+00,1.770129091396447762e+01,8.588634846146537827e-01
1.260000000000000009e+00,1.777238376772666584e+01,8.515798301935472159e-01
1.265000000000000124e+00,1.784348351810989541e+01,8.442622563223177723e-01
1.270000000000000018e+00,1.791459019450115520e+01,8.369222480978043555e-01
1.274999999999999911e+00,1.798570382631242381e+01,8.295710697546941903e-01
1.280000000000000027e+00,1.805682444298079048e+01,8.222197522123856350e-01
1.285000000000000142e+00,1.812795207396856867e+01,8.148790812121154969e-01
1.290000000000000036e+00,1.819908674876339560e+01,8.075595860513421487e-01
1.294999999999999929e+00,1.827022849687839923e+01,8.002715289213945260e-01
1.300000000000000044e+00,1.834137734785226570e+01,7.930248948534271980e-01
1.305000000000000160e+00,1.841253333124940639e+01,7.858293822767489223e-01
1.310000000000000053e+00,1.848369647666003246e+01,7.786943941926312007e-01
1.314999999999999947e+00,1.855486681370031476e+01,7.716290299657536655e-01
1.320000000000000062e+00,1.862604437201249752e+01,7.646420777345070974e-01
1.325000000000000178e+00,1.869722918126500133e+01,7.577420074404370709e-01
1.330000000000000071e+00,1.876842127115253689e+01,7.509369644761981766e-01
1.334999999999999964e+00,1.883962067139628616e+01,7.442347639504907075e-01
1.339999999999999858e+00,1.891082741174395920e+01,7.376428855675599694e-01
1.344999999999999973e+00,1.898204152196994698e+01,7.311684691179701767e-01
1.350000000000000089e+00,1.905326303187543857e+01,7.248183105765103607e-01
1.354999999999999982e+00,1.912449197128853484e+01,7.185988588022572676e-01
1.359999999999999876e+00,1.919572837006440480e+01,7.125162128350012170e-01
1.364999999999999991e+00,1.926697225808537439e+01,7.065761197814554029e-01
1.370000000000000107e+00,1.933822366526105441e+01,7.007839732838834212e-01
1.375000000000000000e+00,1.940948262152846837e+01,6.951448125630387276e-01
1.379999999999999893e+00,1.948074915685221242e+01,6.896633220265763198e-01
1.385000000000000009e+00,1.955202330122451926e+01,6.843438314333994965e-01
1.390000000000000124e+00,1.962330508466541446e+01,6.791903166037167594e-01
1.395000000000000018e+00,1.969459453722285502e+01,6.742064006639355567e-01
1.399999999999999911e+00,1.976589168897282534e+01,6.693953558148907357e-01
1.405000000000000027e+00,1.983719657001949344e+01,6.647601056113023876e-01
1.410000000000000142e+00,1.990850921049531408e+01,6.603032277397865579e-01
1.415000000000000036e+00,1.997982964056115307e+01,6.560269572821890716e-01
1.419999999999999929e+00,2.005115789040643648e+01,6.519331904505010211e-01
1.425000000000000044e+00,2.012249399024926788e+01,6.480234887791217480e-01
1.430000000000000160e+00,2.019383797033654204e+01,6.442990837597686316e-01
1.435000000000000053e+00,2.026518986094409414e+01,6.407608819039084525e-01
1.439999999999999947e+00,2.033654969237680632e+01,6.374094702171747562e-01
1.445000000000000062e+00,2.040791749496876761e+01,6.342451220698684944e-01
1.450000000000000178e+00,2.047929329908335916e+01,6.312678034472885003e-01
1.455000000000000071e+00,2.055067713511342120e+01,6.284771795633284919e-01
1.459999999999999964e+00,2.062206903348136322e+01,6.258726218204937464e-01
1.464999999999999858e+00,2.069346902463929183e+01,6.234532150992323496e-01
1.469999999999999973e+00,2.076487713906917065e+01,6.212177653592552140e-01
1.475000000000000089e+00,2.083629340728289492e+01,6.191648075353225478e-01
1.479999999999999982e+00,2.090771785982247977e+01,6.172926137098101451e-01
1.484999999999999876e+00,2.097915052726014906e+01,6.155992015442312004e-01
1.489999999999999991e+00,2.105059144019848816e+01,6.140823429517907606e-01
1.495000000000000107e+00,2.112204062927057890e+01,6.127395729929614454e-01
1.500000000000000000e+00,2.119349812514010978e+01,6.115681989760306525e-01
1.505000000000000115e+00,2.126496395850152510e+01,6.105653097445463695e-01
1.510000000000000009e+00,2.133643816008016358e+01,6.097277851335946020e-01
1.515000000000000124e+00,2.140792076063237204e+01,6.090523055768838345e-01
